id,value,feed_id,created_at,lat,lon,ele
0FPWBEC2J6G2W37Z306J4JDP1H,-42441.2,2888023,2024-10-02 21:16:00 UTC,,,
0FPWBEN7M42643J921F5P4SG7C,-43591.6,2888023,2024-10-02 21:16:30 UTC,,,
0FQ3PRKQR9GYXN4F4M1DXBJAEJ,12650.0,2888023,2024-10-12 00:36:03 UTC,,,
0FQ3PS46CHKN84TWHPVSQ6QHB3,1614.36,2888023,2024-10-12 00:36:57 UTC,,,
0FQ3PSCJ2G7VEXGD1JHGSQK1AT,1590.91,2888023,2024-10-12 00:37:24 UTC,,,
0FQ3PSMYR7N91GQCPNP8AR1WZB,1594.0,2888023,2024-10-12 00:37:52 UTC,,,
0FQ3PSXBDZBX0SN2HDY4F17625,1589.45,2888023,2024-10-12 00:38:19 UTC,,,
0FQ3PT5R5WCN5JW9JKPKFHZ5SH,1582.73,2888023,2024-10-12 00:38:47 UTC,,,
0FQ3PTE5037Z9GKA3ZRT0TESM2,1609.82,2888023,2024-10-12 00:39:14 UTC,,,
0FQ3PTPHN5TWYS46VDN4R3WFF8,1604.54,2888023,2024-10-12 00:39:42 UTC,,,
0FQ3PTYYCTMVZ0JTGYTVCDZ1KT,1658.54,2888023,2024-10-12 00:40:09 UTC,,,
0FQ3PV7BJQKW1V2G29J2KKYPVG,1615.82,2888023,2024-10-12 00:40:37 UTC,,,
0FQ3PVHT8QB1A8XW7K9NPQH5C8,1631.63,2888023,2024-10-12 00:41:11 UTC,,,
0FQ3PVSF1ZDRKSSJA8E9BG5CR7,1622.36,2888023,2024-10-12 00:41:36 UTC,,,
0FQ3PWCRHN7Q7CHRSECSN2JHY4,1641.45,2888023,2024-10-12 00:42:40 UTC,,,
0FQ3PWN54RWYEYCJKH8372D262,1640.91,2888023,2024-10-12 00:43:07 UTC,,,
0FQ3PWXHVHFVRBGBVHQDFGJHJK,45136.3,2888023,2024-10-12 00:43:35 UTC,,,
0FQ3PX5YMPPSBWBSHAP25C7TPR,87424.5,2888023,2024-10-12 00:44:02 UTC,,,
0FQ3PXEB98220WDF7EKF25H8ZM,87469.8,2888023,2024-10-12 00:44:30 UTC,,,
0FQ3PXZGEM34TJ8X7AAB93T6R8,87574.2,2888023,2024-10-12 00:45:26 UTC,,,
0FQ3PY7X6GKA6ECC7RSQJ4YDMN,87607.4,2888023,2024-10-12 00:45:53 UTC,,,
0FQ3PYG9Y96AAH9KW5K3D43B3K,87621.8,2888023,2024-10-12 00:46:21 UTC,,,
0FQ3PZ8KCYMQEHZEZ1HTYPZ2D0,87623.4,2888023,2024-10-12 00:47:40 UTC,,,
0FQ3PZH06AFDPN071RZHHRG5TX,87734.8,2888023,2024-10-12 00:48:08 UTC,,,
0FQ3PZSD0FN41680GEPBTW876P,87791.4,2888023,2024-10-12 00:48:36 UTC,,,
0FQ3Q01SKGSCNJ33XR223K2NHX,87783.2,2888023,2024-10-12 00:49:03 UTC,,,
0FQ3Q0A6B1QCNZRYZRCKE165RQ,87794.7,2888023,2024-10-12 00:49:31 UTC,,,
0FQ3Q0JK04QDWA2YVZKGAB0ZMZ,87781.4,2888023,2024-10-12 00:49:58 UTC,,,
0FQ3Q0TZQAKZR1GGB0CY43ZA7C,87809.6,2888023,2024-10-12 00:50:26 UTC,,,
0FQ3Q13CF4TWR4FEB6A1JMZASC,87832.3,2888023,2024-10-12 00:50:53 UTC,,,
0FQ3Q1BS2GMX5GZ0SYQWWR5KBH,87861.9,2888023,2024-10-12 00:51:21 UTC,,,
0FQ3Q1M5TF6XN2B4RRXG1PFXPM,87894.9,2888023,2024-10-12 00:51:48 UTC,,,
0FQ3Q1WJJGVCYH203X0FE42K1W,87858.3,2888023,2024-10-12 00:52:16 UTC,,,
0FQ3Q24ZA3HC4APTW7EY3MQKXV,87919.6,2888023,2024-10-12 00:52:43 UTC,,,
0FQ3Q2DBYKKRF9D77BYBS4E5K0,87891.0,2888023,2024-10-12 00:53:11 UTC,,,
0FQ3Q2NRQKS1F1WZR44WM5YDPK,87929.4,2888023,2024-10-12 00:53:38 UTC,,,
0FQ3Q2Y5C3MRSRX0F2BJBF239K,87965.3,2888023,2024-10-12 00:54:06 UTC,,,
0FQ3Q36J3Y67PQJ9144WS518KF,87977.4,2888023,2024-10-12 00:54:33 UTC,,,
0FQ3Q3EYV7P14BRE45RGB8XWZY,87977.9,2888023,2024-10-12 00:55:01 UTC,,,
0FQ3Q82J45V8JBFCATFN37TEKC,83903.2,2888023,2024-10-12 01:03:04 UTC,,,
0FQ3Q8AYS5WPES1WB98CW6FE5T,21216.3,2888023,2024-10-12 01:03:32 UTC,,,
0FQ3Q8M6EQKMQK1GSJ4F6FVH23,21012.9,2888023,2024-10-12 01:04:02 UTC,,,
0FQ3Q8WGQPJZ8M2DEY3PJ9DXXA,21141.8,2888023,2024-10-12 01:04:29 UTC,,,
0FQ3Q9A3H7403MYZ6VKRP04R7F,21303.1,2888023,2024-10-12 01:05:14 UTC,,,
0FQ3Q9JG9VQ6WJ5KYYVGNX06FE,21377.8,2888023,2024-10-12 01:05:42 UTC,,,
0FQ3Q9TX3FY8RNFWBNY083TVSG,21440.9,2888023,2024-10-12 01:06:09 UTC,,,
0FQ3QA39S0116ANPYCY8WE66ZG,21486.9,2888023,2024-10-12 01:06:37 UTC,,,
0FQ3QABPFXEPNP5836KVPQV7FN,21551.4,2888023,2024-10-12 01:07:04 UTC,,,
0FQ3QAM353ZFVX2KAB4Z6956BA,21583.3,2888023,2024-10-12 01:07:32 UTC,,,
0FQ3QAWFWC655C7RX8PHK9RDV1,21590.0,2888023,2024-10-12 01:07:59 UTC,,,
0FQ3QB4WN0THCQPNKTE1SK2JEM,21641.8,2888023,2024-10-12 01:08:27 UTC,,,
0FQ3QBCP7ZGN6JQCK1524WBZ83,21702.2,2888023,2024-10-12 01:08:52 UTC,,,
0FQ3QBN2HQX6CE2DCP20N5TG79,21739.8,2888023,2024-10-12 01:09:20 UTC,,,
0FQ3QBWVNTDFGA3A75935GT5NN,21742.6,2888023,2024-10-12 01:09:45 UTC,,,
0FQ3QC5B743N2KB1S8CPWC0TP3,21790.2,2888023,2024-10-12 01:10:13 UTC,,,
0FQ3QCCZBEYQZQD8D4EVTYTVH4,21826.2,2888023,2024-10-12 01:10:38 UTC,,,
0FQ3QCNC114BHQA02VX69364Z8,21852.2,2888023,2024-10-12 01:11:05 UTC,,,
0FQ3QCX57J51ACRC2GXV7T669S,21911.4,2888023,2024-10-12 01:11:31 UTC,,,
0FQ3QD5HYGZH8E5BZM20RE7ZG6,21897.8,2888023,2024-10-12 01:11:59 UTC,,,
0FQ3QDDYP6G9XHMKSN6V63ZFPJ,21935.1,2888023,2024-10-12 01:12:26 UTC,,,
0FQ3QDPBDN800ETXJKJNHRTQXE,21994.2,2888023,2024-10-12 01:12:54 UTC,,,
0FQ3QDYR63B72S21V955A32YVD,21996.9,2888023,2024-10-12 01:13:21 UTC,,,
0FQ3QE74WMQB0KT8GMPNHHQHNC,22010.5,2888023,2024-10-12 01:13:49 UTC,,,
0FQ3QEFHJYAKNDEZ2G23SAW079,22069.3,2888023,2024-10-12 01:14:16 UTC,,,
0FQ3QEQY783N1ZSJ7MR7V8CVG0,22087.6,2888023,2024-10-12 01:14:44 UTC,,,
0FQ3QF0AYPT57W6SVS6PP7RXJV,22114.0,2888023,2024-10-12 01:15:11 UTC,,,
0FQ3QF8QNFCA8NBD2EVFJBZ2JD,22154.2,2888023,2024-10-12 01:15:39 UTC,,,
0FQ3QFH4WQ94AB30YT5S9DXGAP,22156.2,2888023,2024-10-12 01:16:06 UTC,,,
0FQ3QFVTEB6Q1WPQ3QTMTQKY46,22125.8,2888023,2024-10-12 01:16:41 UTC,,,
0FQ3QG39WWSAGRHZY59NB5YT77,22168.9,2888023,2024-10-12 01:17:06 UTC,,,
0FQ3QGBPMNB34R1EM0TRM1NGCP,22204.7,2888023,2024-10-12 01:17:33 UTC,,,
0FQ3QGM3C75ADRV17TAPZZCB3J,22278.0,2888023,2024-10-12 01:18:01 UTC,,,
0FQ3QGWG8187PMM7MXK8HNVQYQ,23428.0,2888023,2024-10-12 01:18:28 UTC,,,
0FQ3QH4WQNDFYT8T7W7CPBC6FF,22303.1,2888023,2024-10-12 01:18:56 UTC,,,
0FQ3QHDBXJ8KYB0J6WHMKC0V0R,22281.8,2888023,2024-10-12 01:19:24 UTC,,,
0FQ3QHNRKNZMHC2RVRA4N2W5RP,22307.8,2888023,2024-10-12 01:19:51 UTC,,,
0FQ3QHY59FZ6GQ6XEXM269FA5H,22340.3,2888023,2024-10-12 01:20:19 UTC,,,
0FQ3QJ7AFGQSEZHMX9QZA4KX0F,22371.4,2888023,2024-10-12 01:20:49 UTC,,,
0FQ3QJF3M6RB2J34Z5MHGPDAXV,22416.6,2888023,2024-10-12 01:21:14 UTC,,,
0FQ3QJQGBTA0MEFR2W1MAP5JT7,22396.5,2888023,2024-10-12 01:21:42 UTC,,,
0FQ3QJZX4N4FK3QEA4E2A09FJA,22397.1,2888023,2024-10-12 01:22:09 UTC,,,
0FQ3QK89V4BAWK0N67M31BCPCG,22469.6,2888023,2024-10-12 01:22:37 UTC,,,
0FQ3QKGPKCDJMXFS136QNXHXJY,22456.7,2888023,2024-10-12 01:23:04 UTC,,,
0FQ3QKS3992E7CESXSHFPKRZ1P,22487.1,2888023,2024-10-12 01:23:32 UTC,,,
0FQ3QM1G0VZ6EAG9HQG8W82HS8,22565.1,2888023,2024-10-12 01:23:59 UTC,,,
0FQ3QM9WQ9CYH98XPNDHNW8T68,22532.5,2888023,2024-10-12 01:24:27 UTC,,,
0FQ3QMJ9F0RQNC0F3HAD33DTE5,22582.5,2888023,2024-10-12 01:24:54 UTC,,,
0FQ3QMTP3SF55A6JG9JGH8VEKT,22599.8,2888023,2024-10-12 01:25:22 UTC,,,
0FQ3QN333H0AB3ZV5Z4E507BY1,22653.1,2888023,2024-10-12 01:25:49 UTC,,,
0FQ3QNBFJJX93ZQ0G5FKEBWM38,22645.6,2888023,2024-10-12 01:26:17 UTC,,,
0FQ3QNKW655Q4TV1SK2QH59871,22694.5,2888023,2024-10-12 01:26:44 UTC,,,
0FQ3QNW8X8SHM32AF26287YQ1W,22709.3,2888023,2024-10-12 01:27:12 UTC,,,
0FQ3QP4NK037FBNMDBJ85XGP7C,22706.9,2888023,2024-10-12 01:27:39 UTC,,,
0FQ3QPD2CRR9TSWXW2FRWQ1Z6J,22731.4,2888023,2024-10-12 01:28:07 UTC,,,
0FQ3QPNF3AKFVR1B2QWX2FPV28,22737.8,2888023,2024-10-12 01:28:34 UTC,,,
0FQ3QPXVSCHFAP80Y72EHE21ZT,22770.4,2888023,2024-10-12 01:29:02 UTC,,,
0FQ3QQ68FCRN4RKEKP3R2VMEDH,22783.3,2888023,2024-10-12 01:29:29 UTC,,,
0FQ3QQEN6NNXH96S93V3WFQ8RX,22819.1,2888023,2024-10-12 01:29:57 UTC,,,
0FQ3QQQ1XECF1HZP6JDG3MH2YE,22802.5,2888023,2024-10-12 01:30:24 UTC,,,
0FQ3QQZKHFX8HQBKXR59830VR6,22809.6,2888023,2024-10-12 01:30:52 UTC,,,
0FQ3QR7V8M33QPGCQK7QVZVTY9,22829.4,2888023,2024-10-12 01:31:19 UTC,,,
0FQ3QRFMG2QC5FAA8TQY40QXF1,22838.6,2888023,2024-10-12 01:31:45 UTC,,,
0FQ3QRR14SVMN1GGVFGAHHZZYA,22879.1,2888023,2024-10-12 01:32:12 UTC,,,
0FQ3QRZTBGZK76JMY2T3QD9AEP,22854.2,2888023,2024-10-12 01:32:38 UTC,,,
0FQ3QS874W3K4VQTQSKQCY161Y,22880.0,2888023,2024-10-12 01:33:06 UTC,,,
0FQ3QSG09K9VQDF53XZ8214APM,22893.0,2888023,2024-10-12 01:33:31 UTC,,,
0FQ3QSRD09HFCA3AT8HTJBH714,22910.7,2888023,2024-10-12 01:33:59 UTC,,,
0FQ3QT0SQ6GG7DYD9Y7C07Y2XR,22858.5,2888023,2024-10-12 01:34:26 UTC,,,
0FQ3QT96J061ERTCA15PKDNNFV,22875.8,2888023,2024-10-12 01:34:54 UTC,,,
0FQ3QTHR1TB2YFS0N357ESY7NK,22904.7,2888023,2024-10-12 01:35:22 UTC,,,
0FQ3QTSZY6MV80H0XCC0A6G3X4,22920.2,2888023,2024-10-12 01:35:49 UTC,,,
0FQ3QV2CK19XP1SHKVVZX75904,22928.7,2888023,2024-10-12 01:36:16 UTC,,,
0FQ3QVAY5JMD2RAQPRA9P9NSTZ,23003.8,2888023,2024-10-12 01:36:44 UTC,,,
0FQ3QVK5Z4DJG3PMTKFMAJ64MG,22998.5,2888023,2024-10-12 01:37:11 UTC,,,
0FQ3QVVJQKT9P9S4F75NN230M8,23035.8,2888023,2024-10-12 01:37:39 UTC,,,
0FQ3QW3ZDT82YNHV6PQZPRCVTA,23038.9,2888023,2024-10-12 01:38:06 UTC,,,
0FQ3QWCC78RVSTMN6V4H5KWYKK,22772.9,2888023,2024-10-12 01:38:34 UTC,,,
0FQ3QWMRWZJGPW6HHJP0VQ5GM7,22838.9,2888023,2024-10-12 01:39:01 UTC,,,
0FQ3QWX5N2T7YWHZCQEHD5V5TJ,22883.4,2888023,2024-10-12 01:39:29 UTC,,,
0FQ3QX5JCK2H088VC90258Q0JK,22914.5,2888023,2024-10-12 01:39:56 UTC,,,
0FQ3QXDZ2HCTZ8STMCV572808A,22914.0,2888023,2024-10-12 01:40:24 UTC,,,
0FQ3QXPBRQ0Q3XEZW546M1Z9SD,22970.5,2888023,2024-10-12 01:40:51 UTC,,,
0FQ3QXYRG9DCYGQDWXMBEA02PT,22997.6,2888023,2024-10-12 01:41:19 UTC,,,
0FQ3QY758DK632X383XZZWETTH,23007.3,2888023,2024-10-12 01:41:46 UTC,,,
0FQ3QYFHXM9830KS6JWC5K2NDH,23037.6,2888023,2024-10-12 01:42:14 UTC,,,
0FQ3R1QHZGA5D9YV1V63VF2780,23037.8,2888023,2024-10-12 01:47:55 UTC,,,
0FQ3R1ZYT53007QXKCC3H53NDD,22779.4,2888023,2024-10-12 01:48:22 UTC,,,
0FQ3R28BGB0F0CF8VP0HE1GG6Z,22793.8,2888023,2024-10-12 01:48:50 UTC,,,
0FQ3R2GR256WFEC5TQ5KS7RWF3,22840.2,2888023,2024-10-12 01:49:17 UTC,,,
0FQ3R2S4SX938PS79880JASNGB,22872.4,2888023,2024-10-12 01:49:45 UTC,,,
0FQ3R31HFWRF65H544GDNGQWKK,22921.3,2888023,2024-10-12 01:50:12 UTC,,,
0FQ3R39Y78X9APATKH4JC192RC,22964.0,2888023,2024-10-12 01:50:40 UTC,,,
0FQ3R3JB121JPWXXGVXTFETWD3,22948.9,2888023,2024-10-12 01:51:07 UTC,,,
0FQ3R44ZMC36KSG55DV86SJ7TB,23041.8,2888023,2024-10-12 01:52:08 UTC,,,
0FQ3R4DC91ME816V487C4R36CF,23002.2,2888023,2024-10-12 01:52:36 UTC,,,
